Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Priority,Channel,Discount Amount,Cost Price,Sale Price,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
North America,Texas,McKinney,DEF Machines,7,Asus,ROG Strix Scar III,HDD,Michael,Obrien,8759422956,carterpatricia@example.net,Ashley Wright,New Sales,Cash,Low,Offline,937,18384,23384,2022-07-17,N/A,0,16GB,685,0,570,21010,1TB
Africa,Kenya,Mombasa,XYZ Tech,7,HP,Stream,HDD,Kevin,Romero,(430)332-4476,tfreeman@example.com,Tonya Nolan,Repairs,Finance,High,Online,50,18950,23116,2024-01-13,2024-02-12,5166,16GB,786,3465,380,22010,1TB
North America,California,Oxnard,XYZ Tech,7,Apple,Apple Lisa,HDD,Sarah,Mcconnell,(474)419-1030,richardsshelley@example.com,Alyssa Martinez,Repairs,Cash,Medium,Offline,286,15215,19439,2021-11-22,N/A,0,2GB,401,1981,146,17913,256GB
North America,Pennsylvania,Wilkes-Barre,Benjis Tech,2,Lenovo,IdeaPad Flex 5,SSD,Sarah,King,(628)735-7206,nealrebecca@example.com,Lisa Graham,Returns,Cash,High,Offline,132,14132,16444,2023-10-07,N/A,0,4GB,656,0,856,15699,1TB
North America,Michigan,Saginaw,Benjis Tech,3,Apple,Apple Mac Mini,HDD,Gregory,Brown,900-400-3165x799,roberthebert@example.net,Allen Juarez,Second-hand Sales,Bank Transfer,Medium,Online,984,12365,15254,2023-10-24,2023-11-04,0,16GB,488,0,549,13599,256GB
North America,Ohio,Beavercreek,Western International PCs,2,Dell,Precision,HDD,Karen,Nguyen,268.968.3311x03727,simmonsdillon@example.com,Max Mccann,New Sales,Finance,Low,Offline,549,12187,14372,2021-05-21,N/A,43712,8GB,573,0,781,13327,500GB
Africa,Botswana,Kweneng,CK Tech Store,2,Asus,ZenBook UX425,HDD,Alexis,Gray,968-253-8760,sawyermark@example.com,Madison Davis,Repairs,Cash,Medium,Online,502,19899,23008,2022-10-10,2022-10-18,0,4GB,676,3902,762,22285,256GB
Africa,Ethiopia,Harari,Greens Laptops and PCs,2,Acer,Spin 5,HDD,Garrett,Jones,373-794-7580x20731,ricky11@example.com,Joseph Good,Repairs,Cash,Medium,Online,439,26911,30154,2022-01-25,2022-02-02,0,2GB,550,3962,1000,30047,256GB
North America,California,Irvine,GH PC Shop,1,Microsoft,Surface Neo,HDD,Christina,Little,(867)493-2795x5301,fjohnson@example.com,Amber Montgomery,Second-hand Sales,Bank Transfer,High,Offline,894,2688,5948,2023-02-08,N/A,0,2GB,473,0,321,3130,1TB
Africa,South Africa,Northern Cape,S & A Computer Place,7,Asus,TUF Gaming A15,SSD,Daniel,Lee,+1-596-996-3259x547,lauriecastillo@example.com,Daniel Lane,Repairs,Finance,Low,Offline,555,19245,23505,2023-09-29,N/A,3330,2GB,434,1783,850,20130,256GB
Africa,Ghana,Upper East,XYZ Tech,4,Lenovo,ThinkPad X13 Yoga,SSD,Desiree,Garza,354-460-5679,carlos96@example.com,Kevin Lee,Returns,Cash,Low,Online,803,6466,9048,2023-07-06,2023-07-14,0,16GB,685,0,955,8823,500GB
Africa,Morocco,Kenitra,Jacks Hardware,6,Dell,Precision,HDD,Joshua,Adams,423-668-1647,fdaniels@example.org,Amy Owens,New Sales,Finance,Medium,Online,201,24519,26768,2023-04-29,2023-05-21,29024,16GB,782,0,983,26325,1TB
Africa,Tanzania,Mtwara,GH PC Shop,10,Microsoft,Surface Pro,HDD,Shane,Brown,(752)070-2331,melissa64@example.com,Mary Fisher,Repairs,Cash,Medium,Offline,232,23367,27513,2021-08-12,N/A,0,4GB,423,4570,378,24109,1TB
North America,Pennsylvania,Johnstown,A & A PCs,9,Asus,ROG Zephyrus S GX701,SSD,Logan,Perez,(923)603-3333,gregory66@example.org,Julia Dodson,Second-hand Sales,Bank Transfer,Medium,Offline,203,21946,25723,2022-08-19,N/A,0,8GB,533,0,661,23419,500GB
Africa,Nigeria,Borno,ABC Computers,5,Asus,ProArt StudioBook Pro X,HDD,Kim,Love,1910929550,salinasshawn@example.net,Timothy Leach,Second-hand Sales,Cash,Low,Offline,150,26724,31139,2021-09-29,N/A,0,16GB,446,0,822,28481,256GB
Africa,Tanzania,Mwanza,Ricks Computers,8,Toshiba,Qosmio,HDD,Ryan,Curtis,016.137.8479,gregory28@example.net,David Osborn,Returns,Cash,High,Offline,6,5318,7653,2023-12-14,N/A,0,4GB,715,0,876,7199,256GB
North America,Ohio,Westerville,A & A PCs,10,Acer,Predator Triton 500,SSD,Sharon,Pena,497.727.4314x534,cookjoshua@example.net,Jason Gentry,Repairs,Finance,Low,Offline,201,18832,21802,2023-05-06,N/A,28027,4GB,405,3346,132,19928,256GB
Africa,South Africa,Gauteng,KyaSand Tech Gadgets,8,Lenovo,ThinkPad T14,HDD,Nathaniel,Marshall,+1-542-502-1275x57882,ostewart@example.com,Mrs. Barbara Davenport,Second-hand Sales,Bank Transfer,High,Online,383,6885,8948,2023-08-08,2023-09-05,0,2GB,529,0,472,7482,500GB
Africa,Nigeria,Sokoto,DEF Machines,9,Asus,VivoBook S14,SSD,Christopher,Hill,001-627-047-3808x4582,joshuahernandez@example.org,Lisa Morgan,Returns,Bank Transfer,Medium,Offline,632,10024,13841,2021-08-04,N/A,0,16GB,782,0,491,12728,500GB
Africa,Kenya,Nyeri,S & A Computer Place,5,Toshiba,Qosmio,HDD,Elizabeth,Melton,729.437.2339,grossmelissa@example.org,David Ellis,Returns,Cash,Low,Offline,909,22022,24788,2022-02-10,N/A,0,16GB,623,0,97,24685,500GB
Africa,South Africa,Northern Cape,Jacks Hardware,3,MSI,GE76 Raider,SSD,Allison,Smith,(297)164-2241x912,fcole@example.com,Mary Nelson,New Sales,Cash,Low,Offline,338,18788,21357,2023-05-04,N/A,0,2GB,642,0,982,20287,256GB
North America,North Carolina,Morganton,GH PC Shop,9,MSI,GE76 Raider,SSD,Tara,Marks,4931322286,sanchezchristian@example.com,Morgan Moore,New Sales,Bank Transfer,Medium,Online,941,14307,17436,2023-04-20,2023-05-20,0,16GB,609,0,319,15616,500GB
Africa,Angola,Huila,GHI Machines,9,HP,Probook,HDD,David,Moon,001-478-678-3296,snyderjacqueline@example.com,Cassidy Mason,Second-hand Sales,Finance,High,Online,725,29677,32562,2022-12-05,2022-12-27,44142,16GB,532,0,198,29708,500GB
Africa,Ethiopia,Afar,Jacks Hardware,1,Lenovo,ThinkPad T14,HDD,Pamela,Martin,396.536.2013x61043,mcgeecatherine@example.com,Alexa Hopkins,Returns,Finance,Medium,Offline,73,20561,24439,2023-12-01,N/A,2896,16GB,616,0,521,23280,1TB
Africa,Morocco,Azilal,S & A Computer Place,4,MSI,Alpha 15,HDD,Kyle,Harmon,253-644-9959x52009,josephvasquez@example.net,Emma Scott,Returns,Bank Transfer,Medium,Online,901,28098,31040,2023-12-19,2024-01-07,0,4GB,580,0,671,29696,500GB
North America,North Carolina,Havelock,LJ Computers,6,Apple,Apple Mac Pro,SSD,Christopher,Campos,001-867-181-4348x6593,ysanchez@example.net,Tony Valenzuela,Returns,Cash,Medium,Online,62,6881,11746,2021-09-12,2021-09-15,0,2GB,418,0,682,8064,1TB
North America,Texas,Abilene,A & A PCs,2,Lenovo,Legion 5,SSD,John,Reyes,189228254,jessica62@example.com,Diana Rodriguez,New Sales,Finance,Low,Online,318,18701,22222,2023-02-13,2023-02-23,5823,2GB,761,0,523,22000,1TB
Africa,Botswana,Central,Western International PCs,2,Samsung,Notebook 5,HDD,Vanessa,Boyd,363.814.2384,nicolegonzalez@example.com,Melissa Dunn,Second-hand Sales,Finance,High,Offline,515,11714,13926,2022-08-01,N/A,47675,4GB,706,0,671,12532,256GB
Africa,Tanzania,Manyara,DEF Machines,2,Dell,Precision,SSD,Shannon,Freeman,524-471-5326x826,lyoung@example.org,Jennifer Morales,Repairs,Bank Transfer,Low,Online,410,9261,14136,2023-05-26,2023-06-18,0,16GB,760,4931,557,10948,1TB
Africa,Kenya,Siaya,Jacks Hardware,9,HP,Elitebook,HDD,Cathy,Price,740-532-2618,lbryan@example.net,Tonya Nolan,New Sales,Cash,Low,Online,112,17758,22498,2024-01-02,2024-01-30,0,16GB,728,0,816,20454,256GB
Africa,Nigeria,Zamfara,GH PC Shop,4,HP,Spectre,HDD,Robert,Wood,+1-437-479-3301x31977,anthony69@example.com,Diana Waters,Second-hand Sales,Bank Transfer,Low,Offline,333,26343,28768,2021-04-15,N/A,0,16GB,440,0,807,27529,500GB
Africa,Kenya,Bungoma,DEF Machines,4,Microsoft,Surface Hub,SSD,Richard,Frye,+1-382-726-8974x7448,portermonica@example.com,Amy Johnson,Repairs,Bank Transfer,High,Online,520,28302,30373,2022-05-01,2022-05-07,0,2GB,595,2589,981,30011,500GB
Africa,Angola,Benguela,DEF Machines,8,Microsoft,Surface Neo,HDD,Scott,Lawson,(710)273-3054x96921,samantha25@example.net,Cassidy Mason,New Sales,Bank Transfer,High,Offline,593,21491,25949,2023-12-11,N/A,0,4GB,496,0,743,22822,500GB
Africa,South Africa,Northern Cape,ABC Computers,3,Toshiba,Qosmio,SSD,Roberto,Murray,2216962432,joseph07@example.net,Pamela Zavala,Repairs,Finance,Medium,Offline,830,26025,29391,2023-10-26,N/A,16614,2GB,473,3516,722,28243,1TB
Africa,Nigeria,Borno,XYZ Tech,2,Acer,Predator Triton 500,HDD,Marc,Walker,+1-039-197-5976x92508,bobby21@example.org,Diana Waters,Returns,Finance,High,Offline,174,5202,9678,2023-05-15,N/A,41579,4GB,537,0,817,6184,1TB
Africa,Tanzania,Mara,CK Tech Store,3,Microsoft,Surface Pro,SSD,Cindy,Davis,4326458783,whitney58@example.net,Mary Fisher,New Sales,Bank Transfer,Low,Offline,897,17782,21769,2022-05-26,N/A,0,16GB,678,0,697,18410,500GB
North America,California,San Diego,LJ Computers,7,Asus,TUF Gaming A15,HDD,Jeff,Hamilton,(856)281-3635x3047,jessica96@example.net,Joy Holt,Repairs,Cash,Medium,Offline,951,20574,22717,2022-08-06,N/A,0,4GB,545,1095,789,20581,1TB
North America,Georgia,Douglasville,Greens Laptops and PCs,6,Acer,Aspire 7,SSD,Sharon,Massey,+1-134-873-8647x358,kimberly30@example.org,Michael Collins,New Sales,Cash,Medium,Online,101,4317,8816,2022-01-20,2022-02-13,0,16GB,782,0,703,4400,256GB
Africa,Nigeria,Yobe,XYZ Tech,5,MSI,GS66 Stealth,SSD,Benjamin,Mayer,2883270457,johnlin@example.org,Lisa Morgan,Returns,Cash,Medium,Offline,727,12863,15128,2021-03-15,N/A,0,8GB,789,0,424,13600,1TB
Africa,Morocco,Fahs Anjra,Western International PCs,4,Samsung,Notebook 9 Pro,SSD,Patrick,Owens,9718561441,parkserin@example.com,Amy Owens,Returns,Finance,Low,Offline,506,8835,11009,2022-03-30,N/A,12253,16GB,798,0,87,9258,1TB
North America,Michigan,East Lansing,CK Tech Store,3,HP,Envy,HDD,Ronnie,Fisher,430-954-2512,xsharp@example.org,Erika Larsen,Second-hand Sales,Bank Transfer,High,Online,668,13588,16477,2023-04-26,2023-05-26,0,8GB,567,0,157,13931,256GB
Africa,Nigeria,Niger,Mini Tech,6,Samsung,Galaxy Chromebook 2,HDD,Christina,Jackson,001-465-013-9160x807,kenneth60@example.net,Lisa Morgan,Returns,Bank Transfer,High,Offline,202,17133,19196,2021-06-20,N/A,0,16GB,504,0,856,18358,256GB
North America,California,Stockton,Western International PCs,4,Acer,Spin 5,HDD,Shaun,Sutton,970.304.7252,greenemelinda@example.com,Rachel Mitchell,Second-hand Sales,Bank Transfer,High,Offline,790,24024,27975,2023-05-22,N/A,0,16GB,544,0,938,27712,1TB
North America,Illinois,Berwyn,Jacks Hardware,8,Lenovo,IdeaCentre AIO 3,SSD,Christina,Warren,001-260-986-7951x90918,cathy71@example.net,Jason Phillips,New Sales,Bank Transfer,Medium,Offline,309,24764,28518,2023-12-25,N/A,0,2GB,618,0,593,24785,256GB
